nan, nan
nan, nan
-19.0, -1.1620310544967651
-18.5, -1.1568231582641602
-18.0, -1.1500836610794067
-17.5, -1.1419079303741455
-17.0, -1.132110834121704
-16.5, -1.1204793453216553
-16.0, -1.1068087816238403
-15.5, -1.0913679599761963
-15.0, -1.073297142982483
-14.5, -1.065817952156067
-14.0, -1.0605918169021606
-13.5, -1.0536962747573853
-13.0, -1.04490065574646
-12.5, -1.0339592695236206
-12.0, -1.0213093757629395
-11.5, -1.005831241607666
-11.0, -0.9876039028167725
-10.5, -0.9768218398094177
-10.0, -0.97250896692276
-9.5, -0.9663635492324829
-9.0, -0.9581398963928223
-8.5, -0.947665810585022
-8.0, -0.9342126846313477
-7.5, -0.9191358685493469
-7.0, -0.9083023071289062
-6.5, -0.9073724150657654
-6.0, -0.9046990275382996
-5.5, -0.9001962542533875
-5.0, -0.893873393535614
-4.5, -0.8858797550201416
-4.0, -0.8765507936477661
-3.5, -0.8664122223854065
-3.0, -0.8714150190353394
-2.5, -0.8777765035629272
-2.0, -0.8844925761222839
-1.5, -0.8804751038551331
-1.0, -0.8445331454277039
-0.5, -0.7748247385025024
0.0, -0.7151448130607605
0.5, -0.6472159624099731
1.0, -0.5954419374465942
1.5, -0.5552389621734619
2.0, -0.5351503491401672
2.5, -0.5762516260147095
3.0, -0.6192876696586609
3.5, -0.6646259427070618
4.0, -0.7129830718040466
4.5, -0.7659171223640442
5.0, -0.8242344856262207
5.5, -0.8889325261116028
6.0, -0.965301513671875
6.5, -1.0540696382522583
7.0, -1.169682264328003
7.5, -1.2920782566070557
8.0, -1.4047225713729858
8.5, -1.5064101219177246
9.0, -1.5963475704193115
9.5, -1.6853821277618408
10.0, -1.7802433967590332
10.5, -1.8611856698989868
11.0, -1.9284721612930298
11.5, -1.982664942741394
12.0, -2.024181842803955
12.5, -2.054137945175171
13.0, -2.0734806060791016
13.5, -2.1025238037109375
14.0, -2.1340525150299072
14.5, -2.1577348709106445
15.0, -2.1747360229492188
15.5, -2.1978163719177246
16.0, -2.2161741256713867
16.5, -2.229771614074707
17.0, -2.2384917736053467
17.5, -2.242543935775757
18.0, -2.242257595062256
18.5, -2.237762689590454
19.0, -2.2302355766296387
19.5, -2.223755121231079
